H0,Omega_Lambda,k,t_crit
7.007615621224309166e+01,6.784562057004576152e-01,4.924078050371432091e-01,1.563618272095642148e+01
7.126033068850337315e+01,6.810695419073063972e-01,2.848217281850781712e-01,1.734896865660746812e+01
6.982617658687746598e+01,6.761861161118466468e-01,4.500767125811305225e-01,1.613169879504870252e+01
6.890895788250136889e+01,6.815493527404751228e-01,4.692254186084194867e-01,1.555566025299744304e+01
6.807792262649250858e+01,6.623830927639132726e-01,3.575697760885556131e-01,1.427571214134566446e+01
7.318473938948112334e+01,6.712907683583138052e-01,3.077601034191419505e-01,1.483232250920554662e+01
7.523168729392907039e+01,6.690750590241066886e-01,3.368264247955350399e-01,1.461786620915473378e+01
7.273433761604051995e+01,7.097459378279881159e-01,3.607878093065156611e-01,1.580705590798184623e+01
7.079904380827515809e+01,6.854586274100612497e-01,4.247283190506400685e-01,1.402086484069913830e+01
6.949551975924593705e+01,6.867505496456645098e-01,4.298317635806771508e-01,1.757115295866384130e+01
7.432217758373349170e+01,6.937093999166580316e-01,4.800442491222501329e-01,1.545510254100198999e+01
7.613032871732897888e+01,6.629452375260512786e-01,3.301452070090679092e-01,1.492702058908066221e+01
7.084731978181807222e+01,7.056824094652187629e-01,4.085637361724273608e-01,1.557514297338319942e+01
7.479109442729968293e+01,6.864503220874315081e-01,3.715081726540828133e-01,1.464608093365656494e+01
7.287127197936287359e+01,6.789578423329968304e-01,3.821504073824293912e-01,1.428680343495683580e+01
7.160203666734841477e+01,6.848308096410716805e-01,4.983970560681973971e-01,1.851033647765461154e+01
7.423719476503522685e+01,6.959445375414865520e-01,2.193193215749899838e-01,1.779269411928966349e+01
7.174155734517867700e+01,6.907155810870108104e-01,3.031555741420720596e-01,1.449477819305689685e+01
7.471489465939428953e+01,6.846849503458827257e-01,4.543541422011175834e-01,1.253060867927283084e+01
7.568124251458274898e+01,6.599840652769186633e-01,3.276245831942972142e-01,1.714080470484412189e+01
7.026054334133976909e+01,6.651191711684293351e-01,3.055782215910864408e-01,1.510031319135620009e+01
7.135718285666101224e+01,6.747695450707296150e-01,3.117494401156000738e-01,1.610866882730572058e+01
7.490767825327347396e+01,6.909863557372241116e-01,3.847818967733156459e-01,1.512054326169676344e+01
7.266251388669591904e+01,6.683826188855711559e-01,3.350242815525986129e-01,1.687594949262397748e+01
7.523911691881707497e+01,6.813433887636303199e-01,3.809952284769319575e-01,1.382567508810891255e+01
7.324691856223402908e+01,6.761534284740591261e-01,3.209288307170052312e-01,1.436507224560782703e+01
7.049015117050160484e+01,6.873362712042206946e-01,3.704438683217572414e-01,1.799943844527967940e+01
7.373137880492251384e+01,6.769531891656688227e-01,2.815154451877151520e-01,1.517884907209801781e+01
7.412664973152830328e+01,6.901679818162109736e-01,3.941320226197169152e-01,1.556245807877238185e+01
7.875016775252684909e+01,6.910225666149646395e-01,4.392340116267908767e-01,1.927587091407881914e+01
7.268219640199960452e+01,6.932136672050881465e-01,3.118593932530280277e-01,1.753458862999730883e+01
7.499837786987076527e+01,6.698357993770245322e-01,3.552811469368165054e-01,1.749316270227915027e+01
7.085980528115450738e+01,6.880902595325883997e-01,4.450538412729920235e-01,1.463250437863075071e+01
7.046041779615033818e+01,6.843647909230702320e-01,4.506552945497079854e-01,1.709043971567759357e+01
7.083584587315864667e+01,6.916932680549645607e-01,3.929927150363974331e-01,1.574314555355306844e+01
7.414959212691556445e+01,6.844397705813606292e-01,3.514224511458217681e-01,1.523836893709533946e+01
7.234267223665175095e+01,6.850672210518402583e-01,5.229380855454046628e-01,1.791352264303377595e+01
7.425032789572426850e+01,6.857546941778015492e-01,4.799273376106850675e-01,1.474135983274000949e+01
6.819031202901108202e+01,6.863766803929846061e-01,4.724470214040724647e-01,1.268676885193490023e+01
6.776459297487441802e+01,6.880907342979005747e-01,3.031044503687767566e-01,1.782605165476755005e+01
7.230086954224056228e+01,6.709313417041392613e-01,4.321091745784577109e-01,1.751673711230802155e+01
7.431577363048185703e+01,6.763556533535934889e-01,3.536152001776913800e-01,1.837292368432843759e+01
7.055985281781198637e+01,6.772351621347857398e-01,3.534144927776375344e-01,1.634405025659876998e+01
7.382725916444859138e+01,6.960189294278300576e-01,4.945087596359819537e-01,1.796488640266739623e+01
7.095393638785921553e+01,6.770712567641976598e-01,4.048807168263232059e-01,1.596669562083235405e+01
7.224038937872512633e+01,6.875810722091557636e-01,5.455096247125400533e-01,1.673408408410366377e+01
7.352537208845856753e+01,6.911979190930781503e-01,4.171263386982527743e-01,1.695734973469313900e+01
7.394557284276562825e+01,6.957635668175000676e-01,4.763511365463367064e-01,1.616745487573313866e+01
7.214282892814965464e+01,6.954290702165902838e-01,4.146300389525505725e-01,1.644272970857291938e+01
6.877728537762334327e+01,6.963686718040090762e-01,3.860354806248347814e-01,1.789878112791310727e+01
7.567366820707566433e+01,6.853327501039634395e-01,2.924406297838152979e-01,1.539884757993543651e+01
7.330874858154263052e+01,6.798915235219720188e-01,4.757992874859213739e-01,1.817551566210088865e+01
7.666743067263945477e+01,6.963800522246405000e-01,3.658526764898620276e-01,1.479279362262409592e+01
7.234361750458556628e+01,6.847634085493922163e-01,4.621245742101310894e-01,1.534484283010047356e+01
6.965990025179229406e+01,7.004574143644086703e-01,4.086744378454225113e-01,1.593914687753903081e+01
7.225676149005437310e+01,6.688983855935063394e-01,4.219406555851347163e-01,1.890639778808131410e+01
7.036353286941064766e+01,6.866528812001676529e-01,3.446626303998290286e-01,1.534280026274549158e+01
7.168089863897812108e+01,7.038853183781503819e-01,3.119476786861705708e-01,1.557718225089638864e+01
7.453750052822952910e+01,6.703644120525401595e-01,4.308831162383839897e-01,1.539639792144680719e+01
7.188867356402285225e+01,6.867402303517191609e-01,3.992947106447289340e-01,1.716079140524245616e+01
7.348979552113826230e+01,6.796271736399339680e-01,3.594503879363235566e-01,1.669750027803570802e+01
